2022-05-18 00:05:454 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 00:05:726 INFO  HomePage :59 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (72bedfb14caaf927ef20bead9c54ee30)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-18 00:05:753 INFO  SigninPage :75 - verify Text [[ChromeDriver: chrome on WINDOWS (72bedfb14caaf927ef20bead9c54ee30)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-18 00:05:720 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 00:05:609 INFO  HomePage :59 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (75949bac5504630812073bfa38a29aca)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-18 00:05:632 INFO  SigninPage :60 - enter username [[ChromeDriver: chrome on WINDOWS (75949bac5504630812073bfa38a29aca)] -> xpath: //input[@id='email']]
2022-05-18 00:05:727 INFO  SigninPage :64 - enter password[[ChromeDriver: chrome on WINDOWS (75949bac5504630812073bfa38a29aca)] -> xpath: //input[@id='passwd']]
2022-05-18 00:05:703 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 00:05:602 INFO  HomePage :59 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (5a0677141e49dcfe1c95586e90c8f587)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-18 00:05:622 INFO  SigninPage :60 - enter username [[ChromeDriver: chrome on WINDOWS (5a0677141e49dcfe1c95586e90c8f587)] -> xpath: //input[@id='email']]
2022-05-18 00:05:750 INFO  SigninPage :64 - enter password[[ChromeDriver: chrome on WINDOWS (5a0677141e49dcfe1c95586e90c8f587)] -> xpath: //input[@id='passwd']]
2022-05-18 00:05:465 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 00:05:37 INFO  HomePage :59 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (e3ae177820cd27c1546b4dd74247f582)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-18 00:05:62 INFO  SigninPage :60 - enter username [[ChromeDriver: chrome on WINDOWS (e3ae177820cd27c1546b4dd74247f582)] -> xpath: //input[@id='email']]
2022-05-18 00:05:178 INFO  SigninPage :64 - enter password[[ChromeDriver: chrome on WINDOWS (e3ae177820cd27c1546b4dd74247f582)] -> xpath: //input[@id='passwd']]
2022-05-18 00:05:240 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 00:05:672 INFO  HomePage :59 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (7098d63c60bc2287a3244914f85fd138)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-18 00:05:690 INFO  SigninPage :60 - enter username [[ChromeDriver: chrome on WINDOWS (7098d63c60bc2287a3244914f85fd138)] -> xpath: //input[@id='email']]
2022-05-18 00:05:813 INFO  SigninPage :64 - enter password[[ChromeDriver: chrome on WINDOWS (7098d63c60bc2287a3244914f85fd138)] -> xpath: //input[@id='passwd']]
2022-05-18 00:05:919 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 00:05:690 INFO  HomePage :59 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (58a6803a3ec27525e45fa547d946ce5a)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-18 00:05:711 INFO  SigninPage :60 - enter username [[ChromeDriver: chrome on WINDOWS (58a6803a3ec27525e45fa547d946ce5a)] -> xpath: //input[@id='email']]
2022-05-18 00:05:849 INFO  SigninPage :64 - enter password[[ChromeDriver: chrome on WINDOWS (58a6803a3ec27525e45fa547d946ce5a)] -> xpath: //input[@id='passwd']]
2022-05-18 00:05:237 INFO  SigninPage :94 - verify signOut Link [[ChromeDriver: chrome on WINDOWS (58a6803a3ec27525e45fa547d946ce5a)] -> xpath: //a[@title='Log me out']]
2022-05-18 00:05:279 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 00:05:843 INFO  HomePage :59 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (492252402e9d8b2383bb65820213a3e5)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-18 00:05:859 INFO  SigninPage :60 - enter username [[ChromeDriver: chrome on WINDOWS (492252402e9d8b2383bb65820213a3e5)] -> xpath: //input[@id='email']]
2022-05-18 00:05:985 INFO  SigninPage :64 - enter password[[ChromeDriver: chrome on WINDOWS (492252402e9d8b2383bb65820213a3e5)] -> xpath: //input[@id='passwd']]
2022-05-18 00:05:391 INFO  SigninPage :99 - click on sign out link [[ChromeDriver: chrome on WINDOWS (492252402e9d8b2383bb65820213a3e5)] -> xpath: //a[@title='Log me out']]
2022-05-18 00:05:374 INFO  SigninPage :103 - verify signin button [[ChromeDriver: chrome on WINDOWS (492252402e9d8b2383bb65820213a3e5)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-18 00:05:824 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 00:05:705 INFO  HomePage :59 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (cb3b6234c76c4f0ab28488b613ea09df)] -> xpath: //a[normalize-space()='Sign in']]
