2022-05-15 14:05:706 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:488 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (803cf329ca7cb742f754217e03b24d90)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:551 INFO  SigninPage :76 - verify Text [[ChromeDriver: chrome on WINDOWS (803cf329ca7cb742f754217e03b24d90)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-15 14:05:870 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:990 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (b7765866e98269688479c2e841bb818c)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:37 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (b7765866e98269688479c2e841bb818c)] -> xpath: //input[@id='email']]
2022-05-15 14:05:240 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (b7765866e98269688479c2e841bb818c)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:670 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:61 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (51aa661144d668cb5df6e835e5663ec3)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:110 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (51aa661144d668cb5df6e835e5663ec3)] -> xpath: //input[@id='email']]
2022-05-15 14:05:339 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (51aa661144d668cb5df6e835e5663ec3)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:483 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:410 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (309f1d292e27b4656f02ee8e79569319)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:473 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (309f1d292e27b4656f02ee8e79569319)] -> xpath: //input[@id='email']]
2022-05-15 14:05:834 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (309f1d292e27b4656f02ee8e79569319)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:475 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:798 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (b7b205dbef9329843e7cacb5af4988af)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:825 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (b7b205dbef9329843e7cacb5af4988af)] -> xpath: //input[@id='email']]
2022-05-15 14:05:972 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (b7b205dbef9329843e7cacb5af4988af)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:226 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:500 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (8ac3c4c994c670888f75582c765bd70f)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:539 INFO  SigninPage :76 - verify Text [[ChromeDriver: chrome on WINDOWS (8ac3c4c994c670888f75582c765bd70f)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-15 14:05:432 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:408 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (84d7c8e7c3f2f3299f2cc59b0b179f10)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:444 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (84d7c8e7c3f2f3299f2cc59b0b179f10)] -> xpath: //input[@id='email']]
2022-05-15 14:05:555 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (84d7c8e7c3f2f3299f2cc59b0b179f10)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:281 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:787 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (85c767a9d522f6534b7b144ef8c3ce6a)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:806 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (85c767a9d522f6534b7b144ef8c3ce6a)] -> xpath: //input[@id='email']]
2022-05-15 14:05:972 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (85c767a9d522f6534b7b144ef8c3ce6a)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:123 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:661 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (0e64f81a853b92b4b40386db6d7ed7bc)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:683 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (0e64f81a853b92b4b40386db6d7ed7bc)] -> xpath: //input[@id='email']]
2022-05-15 14:05:758 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (0e64f81a853b92b4b40386db6d7ed7bc)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:94 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:349 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (f2588b1fedafcb4a1ee5a1f723c14763)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:383 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (f2588b1fedafcb4a1ee5a1f723c14763)] -> xpath: //input[@id='email']]
2022-05-15 14:05:520 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (f2588b1fedafcb4a1ee5a1f723c14763)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:609 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:971 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (809c1d3b68eaa46878d66cab066e8ad0)] -> xpath: //a[normalize-space()='Sign in']]
